PostingDate,InvoiceDate,CustID,Source,ReadType,PPTagID,ETagID_Plate,EquipID,Agency,Entry_Plaza,Entry_Date,Entry_Time,Exit_Plaza,Exit_Date,Exit_Time,Toll_Class,Miles,Toll_Amount
04/30/24,2024-04-30,527736,ELITE     ,Transponder,777647706,01605762673,,FTE,,,,SR91 US 27 LEESBURG N MP289,04/29/24,13:04:04,5,,5.80
04/30/24,2024-04-30,527736,EZPass    ,Transponder,777687232,01605833228,406855,ILTOLL,,,,Route 80 (East),04/29/24,14:54:39,5,,5.80
04/30/24,2024-04-30,527736,EZPass    ,Transponder,777644870,01605764284,273294,MassDOT,Charlton - West,04/25/24,19:20:46,Charlton - West,04/25/24,19:20:46,5,0,1.95
04/30/24,2024-04-30,527736,EZPass    ,Transponder,777644870,01605764284,273294,DRPA,,,,Commodore Barry Br,04/27/24,23:21:42,6,,37.50
04/30/24,2024-04-30,527736,EZPass    ,Transponder,777644870,01605764284,273294,PTC,VAF - Valley Forge,04/28/24,0:20:05,NST - New Stanton,04/28/24,10:55:51,5,,100.30
04/30/24,2024-04-30,527736,ELITE     ,Transponder,777678641,14983394,585615,KTA,Topeka:I-470W US-75 Top Blvd,04/28/24,10:12:07,Eastern Entrance,04/28/24,11:04:51,5,,7.15
04/30/24,2024-04-30,527736,ELITE     ,Transponder,777678641,14983394,585615,KTA,Lecompton Lawrence: K-10,04/28/24,9:05:49,Topeka:I-470W US-75 Top Blvd,04/28/24,9:24:38,5,,3.45
05/01/24,2024-05-31,527736,EZPass    ,Transponder,777678641,01605531161,585615,ILTOLL,,,,Spring Creek,04/30/24,10:29:57,5,,15.40
05/01/24,2024-05-31,527736,EZPass    ,Transponder,777678641,01605531161,585615,ILTOLL,,,,Boughton Rd. (Main),04/30/24,10:39:56,5,,7.70
05/01/24,2024-05-31,527736,EZPass    ,Transponder,777687232,01605833228,406855,ILTOLL,,,,Route 80 (West),04/29/24,17:56:39,5,,5.80
05/01/24,2024-05-31,527736,EZPass    ,Transponder,777645347,01605763921,590053,OTC,,,,Strongsville-Cleveland,04/26/24,13:46:43,5,,26.50
05/01/24,2024-05-31,527736,EZPass    ,Transponder,777644870,01605764284,273294,WVPEDTA,,,,Pax,04/29/24,19:16:14,8,,12.33
05/01/24,2024-05-31,527736,EZPass    ,Transponder,777644870,01605764284,273294,WVPEDTA,,,,Chelyan,04/29/24,18:43:49,8,,12.33
05/01/24,2024-05-31,527736,ELITE     ,Transponder,777679158,11707459,275890,KTA,Topeka: I-70,04/29/24,11:23:17,Lecompton Lawrence: K-10,04/29/24,11:35:08,5,,2.75
05/02/24,2024-05-31,527736,EZPass    ,Transponder,777678641,01605531161,585615,ILTOLL,,,,North Ave.,04/30/24,17:25:47,5,,6.15
05/02/24,2024-05-31,527736,EZPass    ,Transponder,777678641,01605531161,585615,ILTOLL,,,,Meyers Rd.,04/30/24,17:35:47,3,,4.35
05/02/24,2024-05-31,527736,EZPass    ,Transponder,777678641,01605531161,585615,ILTOLL,,,,Joliet Rd.,04/30/24,17:55:15,5,,2.90
